img_idx,true_label,shuffle_label,flag
0,6,3,cl
1,9,0,cl
2,9,1,cl
3,4,9,cl
4,1,7,cl
5,1,8,cl
6,2,0,cl
7,7,9,cl
8,8,1,cl
9,3,3,ol
10,4,6,cl
11,7,3,cl
12,7,1,cl
13,2,8,cl
14,9,7,cl
15,9,5,cl
16,9,3,cl
17,3,2,cl
18,2,5,cl
19,6,2,cl
20,4,1,cl
21,3,3,cl
22,6,4,cl
23,6,7,cl
24,2,6,cl
25,6,1,cl
26,3,5,cl
27,5,1,cl
28,4,2,cl
29,0,9,cl
30,0,0,ol
31,9,1,cl
32,1,6,cl
33,3,1,cl
34,4,7,cl
35,0,6,cl
36,3,9,cl
37,7,6,cl
38,3,4,cl
39,3,9,cl
40,5,8,cl
41,2,1,cl
42,2,4,cl
43,7,7,cl
44,1,5,cl
45,1,3,cl
46,1,6,cl
47,2,1,cl
48,2,9,cl
49,0,4,cl
50,9,3,cl
51,5,0,cl
52,7,5,cl
53,9,3,cl
54,2,0,cl
55,2,4,cl
56,5,0,cl
57,2,8,cl
58,4,0,cl
59,3,3,cl
60,1,3,cl
61,1,4,cl
62,8,3,cl
63,2,9,cl
64,1,4,cl
65,1,3,cl
66,4,5,cl
67,9,8,cl
68,7,7,cl
69,8,7,cl
70,5,5,ol
71,9,3,cl
72,6,3,cl
73,7,2,cl
74,3,3,cl
75,1,4,cl
76,9,9,cl
77,0,7,cl
78,3,4,cl
79,1,0,cl
80,3,0,cl
81,5,1,cl
82,4,0,cl
83,5,5,cl
84,7,6,cl
85,7,2,cl
86,4,1,cl
87,7,9,cl
88,9,7,cl
89,4,6,cl
90,2,1,cl
91,3,7,cl
92,8,7,cl
93,0,0,cl
94,1,7,cl
95,6,8,cl
96,1,7,cl
97,1,7,cl
98,4,4,cl
99,1,4,cl
100,8,3,cl
101,3,7,cl
102,9,2,cl
103,6,6,cl
104,6,0,cl
105,1,5,cl
106,8,2,cl
107,5,0,cl
108,2,0,cl
109,9,7,cl
110,9,8,cl
111,8,1,cl
112,1,0,cl
113,7,1,cl
114,7,0,cl
115,0,9,cl
116,0,0,cl
117,6,9,cl
118,9,8,cl
119,1,7,cl
120,2,4,cl
121,2,6,cl
122,9,9,cl
123,2,3,cl
124,6,7,cl
125,6,8,cl
126,1,9,cl
127,9,4,cl
128,5,2,cl
129,0,8,cl
130,4,9,cl
131,7,0,cl
132,6,5,cl
133,7,5,cl
134,1,6,cl
135,8,2,cl
136,1,7,cl
137,1,6,cl
138,2,5,cl
139,8,2,cl
140,1,9,cl
141,3,5,cl
142,3,2,cl
143,6,6,cl
144,2,4,cl
145,4,6,cl
146,9,0,cl
147,9,7,cl
148,5,4,cl
149,4,3,cl
150,3,1,cl
151,6,8,cl
152,7,5,cl
153,4,7,cl
154,6,0,cl
155,8,4,cl
156,5,9,cl
157,5,9,cl
158,4,1,cl
159,3,7,cl
160,1,0,cl
161,8,9,cl
162,4,9,cl
163,7,7,cl
164,6,2,cl
165,0,3,cl
166,9,7,cl
167,5,4,cl
168,1,3,cl
169,3,7,cl
170,8,9,cl
171,2,5,cl
172,7,9,cl
173,5,3,cl
174,3,7,cl
175,4,5,cl
176,1,7,cl
177,5,0,cl
178,7,0,cl
179,0,2,cl
180,4,2,cl
181,7,6,cl
182,5,9,cl
183,5,6,cl
184,1,6,cl
185,0,8,cl
186,9,8,cl
187,6,7,cl
188,9,8,cl
189,0,9,cl
190,8,2,cl
191,7,1,cl
192,8,1,cl
193,8,1,cl
194,2,2,cl
195,5,5,cl
196,2,8,cl
197,3,4,cl
198,5,7,cl
199,0,0,ol
200,6,3,cl
201,1,0,cl
202,9,5,cl
203,3,2,cl
204,6,3,cl
205,9,3,cl
206,1,4,cl
207,3,1,cl
208,9,3,cl
209,6,9,cl
210,6,4,cl
211,7,2,cl
212,1,1,ol
213,0,3,cl
214,9,5,cl
215,5,8,cl
216,8,5,cl
217,5,3,cl
218,2,1,cl
219,9,5,cl
220,0,9,cl
221,8,3,cl
222,8,8,cl
223,0,7,cl
224,6,5,cl
225,9,6,cl
226,1,9,cl
227,1,3,cl
228,6,9,cl
229,3,2,cl
230,7,2,cl
231,6,7,cl
232,6,4,cl
233,0,4,cl
234,6,1,cl
235,6,8,cl
236,1,7,cl
237,7,6,cl
238,1,9,cl
239,5,0,cl
240,8,4,cl
241,3,2,cl
242,6,7,cl
243,6,9,cl
244,8,9,cl
245,6,8,cl
246,8,3,cl
247,4,9,cl
248,6,7,cl
249,6,4,cl
250,1,3,cl
251,3,2,cl
252,8,2,cl
253,3,9,cl
254,4,4,ol
255,1,8,cl
256,7,2,cl
257,1,9,cl
258,3,1,cl
259,8,9,cl
260,5,8,cl
261,1,6,cl
262,1,5,cl
263,4,5,cl
264,0,3,cl
265,9,4,cl
266,3,1,cl
267,7,8,cl
268,4,8,cl
269,9,0,cl
270,9,3,cl
271,2,0,cl
272,4,7,cl
273,9,1,ol
274,9,9,cl
275,1,8,cl
276,0,3,cl
277,5,8,cl
278,9,5,cl
279,0,9,cl
280,8,2,cl
281,2,7,cl
282,1,6,cl
283,2,2,cl
284,0,3,cl
285,5,7,cl
286,6,3,cl
287,3,6,cl
288,2,1,cl
289,7,0,cl
290,8,7,cl
291,8,7,cl
292,6,4,cl
293,0,6,cl
294,7,8,cl
295,9,9,ol
296,4,5,cl
297,5,1,cl
298,6,0,cl
299,4,9,cl
300,2,7,cl
301,1,9,cl
302,1,7,cl
303,2,8,cl
304,1,9,cl
305,5,0,cl
306,9,1,cl
307,9,5,cl
308,0,5,cl
309,8,8,cl
310,4,5,cl
311,1,3,cl
312,1,4,cl
313,6,6,cl
314,3,0,cl
315,3,9,cl
316,9,1,cl
317,0,1,cl
318,7,3,cl
319,9,5,cl
320,7,5,cl
321,7,4,cl
322,9,1,cl
323,1,5,cl
324,5,0,cl
325,1,9,cl
326,6,9,cl
327,6,1,cl
328,8,6,cl
329,7,7,cl
330,1,1,ol
331,3,6,cl
332,0,0,ol
333,3,7,cl
334,3,4,cl
335,2,7,cl
336,4,9,cl
337,5,3,cl
338,7,6,cl
339,5,1,cl
340,9,5,cl
341,0,5,cl
342,3,6,cl
343,4,7,cl
344,0,2,cl
345,4,4,cl
346,4,3,cl
347,6,6,cl
348,0,4,cl
349,0,7,cl
350,6,3,cl
351,6,6,cl
352,0,7,cl
353,8,2,cl
354,1,3,cl
355,6,7,cl
356,2,8,cl
357,9,7,cl
358,2,8,cl
359,5,0,cl
360,9,8,cl
361,6,0,cl
362,7,4,cl
363,4,5,cl
364,1,5,cl
365,8,3,cl
366,7,2,cl
367,3,7,cl
368,6,1,cl
369,9,1,cl
370,3,0,cl
371,0,4,cl
372,4,7,cl
373,0,0,ol
374,5,9,cl
375,1,5,cl
376,0,1,cl
377,3,9,cl
378,4,4,cl
379,8,0,cl
380,5,8,cl
381,4,8,cl
382,7,6,cl
383,2,6,cl
384,3,4,cl
385,9,9,cl
386,7,1,cl
387,6,6,cl
388,7,0,cl
389,1,7,cl
390,4,5,cl
391,7,3,cl
392,0,0,ol
393,1,4,cl
394,7,9,cl
395,3,5,cl
396,1,6,cl
397,8,1,cl
398,4,6,cl
399,4,5,cl
400,2,9,cl
401,0,2,cl
402,2,4,cl
403,2,3,cl
404,0,0,ol
405,0,1,cl
406,9,3,cl
407,0,2,cl
408,9,2,cl
409,6,0,cl
410,8,5,cl
411,2,4,cl
412,7,7,cl
413,7,7,cl
414,4,3,cl
415,0,8,cl
416,3,7,cl
417,0,7,cl
418,8,4,cl
419,9,9,cl
420,4,2,cl
421,2,7,cl
422,7,2,cl
