index,true_label,candidate_labels,complementary_label
0,6,"['truck', 'automobile', 'ship', 'airplane']",ship
1,9,"['deer', 'cat', 'frog', 'airplane']",airplane
2,9,"['deer', 'cat', 'frog', 'airplane']",airplane
3,4,"['automobile', 'cat', 'airplane', 'frog']",airplane
4,1,"['dog', 'frog', 'airplane', 'cat']",airplane
5,1,"['dog', 'frog', 'airplane', 'cat']",airplane
6,2,"['dog', 'frog', 'airplane', 'cat']",airplane
7,7,"['frog', 'cat', 'airplane', 'automobile']",airplane
8,8,"['horse', 'cat', 'airplane', 'frog']",horse
9,3,"['deer', 'airplane', 'ship', 'automobile']",deer
10,4,"['automobile', 'cat', 'airplane', 'frog']",airplane
11,7,"['frog', 'cat', 'airplane', 'automobile']",frog
12,7,"['frog', 'cat', 'airplane', 'automobile']",airplane
13,2,"['dog', 'frog', 'airplane', 'cat']",airplane
14,9,"['deer', 'cat', 'frog', 'airplane']",airplane
15,9,"['deer', 'cat', 'frog', 'airplane']",airplane
16,9,"['deer', 'cat', 'frog', 'airplane']",airplane
17,3,"['deer', 'airplane', 'ship', 'automobile']",airplane
18,2,"['dog', 'frog', 'airplane', 'cat']",airplane
19,6,"['truck', 'automobile', 'ship', 'airplane']",truck
20,4,"['automobile', 'cat', 'airplane', 'frog']",airplane
21,3,"['deer', 'airplane', 'ship', 'automobile']",deer
22,6,"['truck', 'automobile', 'ship', 'airplane']",truck
23,6,"['truck', 'automobile', 'ship', 'airplane']",ship
24,2,"['dog', 'frog', 'airplane', 'cat']",airplane
25,6,"['truck', 'automobile', 'ship', 'airplane']",ship
26,3,"['deer', 'airplane', 'ship', 'automobile']",deer
27,5,"['airplane', 'cat', 'automobile', 'ship']",airplane
28,4,"['automobile', 'cat', 'airplane', 'frog']",airplane
29,0,"['horse', 'frog', 'automobile', 'cat']",horse
30,0,"['horse', 'frog', 'automobile', 'cat']",automobile
31,9,"['deer', 'cat', 'frog', 'airplane']",airplane
32,1,"['dog', 'frog', 'airplane', 'cat']",airplane
33,3,"['deer', 'airplane', 'ship', 'automobile']",airplane
34,4,"['automobile', 'cat', 'airplane', 'frog']",airplane
35,0,"['horse', 'frog', 'automobile', 'cat']",automobile
36,3,"['deer', 'airplane', 'ship', 'automobile']",airplane
37,7,"['frog', 'cat', 'airplane', 'automobile']",airplane
38,3,"['deer', 'airplane', 'ship', 'automobile']",deer
39,3,"['deer', 'airplane', 'ship', 'automobile']",airplane
40,5,"['airplane', 'cat', 'automobile', 'ship']",airplane
41,2,"['dog', 'frog', 'airplane', 'cat']",airplane
42,2,"['dog', 'frog', 'airplane', 'cat']",airplane
43,7,"['frog', 'cat', 'airplane', 'automobile']",airplane
44,1,"['dog', 'frog', 'airplane', 'cat']",airplane
45,1,"['dog', 'frog', 'airplane', 'cat']",airplane
46,1,"['dog', 'frog', 'airplane', 'cat']",airplane
47,2,"['dog', 'frog', 'airplane', 'cat']",airplane
48,2,"['dog', 'frog', 'airplane', 'cat']",airplane
49,0,"['horse', 'frog', 'automobile', 'cat']",automobile
50,9,"['deer', 'cat', 'frog', 'airplane']",airplane
51,5,"['airplane', 'cat', 'automobile', 'ship']",cat
52,7,"['frog', 'cat', 'airplane', 'automobile']",airplane
53,9,"['deer', 'cat', 'frog', 'airplane']",airplane
54,2,"['dog', 'frog', 'airplane', 'cat']",airplane
55,2,"['dog', 'frog', 'airplane', 'cat']",airplane
56,5,"['airplane', 'cat', 'automobile', 'ship']",airplane
57,2,"['dog', 'frog', 'airplane', 'cat']",airplane
58,4,"['automobile', 'cat', 'airplane', 'frog']",airplane
59,3,"['deer', 'airplane', 'ship', 'automobile']",deer
60,1,"['dog', 'frog', 'airplane', 'cat']",airplane
61,1,"['dog', 'frog', 'airplane', 'cat']",airplane
62,8,"['horse', 'cat', 'airplane', 'frog']",horse
