index,true_label,cluster_id,candidate_labels,complementary_label
0,6,33,"['airplane'; 'deer'; 'frog'; 'automobile']",airplane
1,9,25,"['horse'; 'frog'; 'truck'; 'automobile']",horse
2,9,11,"['cat'; 'automobile'; 'horse'; 'ship']",horse
3,4,32,"['ship'; 'frog'; 'horse'; 'deer']",frog
4,1,3,"['cat'; 'airplane'; 'ship'; 'automobile']",cat
5,1,19,"['bird'; 'ship'; 'cat'; 'automobile']",bird
6,2,8,"['bird'; 'cat'; 'airplane'; 'dog']",airplane
7,7,12,"['deer'; 'automobile'; 'ship'; 'frog']",automobile
8,8,28,"['frog'; 'ship'; 'truck'; 'bird']",frog
9,3,14,"['airplane'; 'frog'; 'automobile'; 'cat']",frog
10,4,8,"['bird'; 'dog'; 'cat'; 'airplane']",airplane
11,7,4,"['ship'; 'cat'; 'airplane'; 'dog']",cat
12,7,12,"['ship'; 'automobile'; 'frog'; 'deer']",frog
13,2,20,"['deer'; 'dog'; 'frog'; 'horse']",deer
14,9,7,"['bird'; 'dog'; 'truck'; 'frog']",bird
15,9,25,"['frog'; 'automobile'; 'truck'; 'horse']",frog
16,9,25,"['truck'; 'automobile'; 'frog'; 'horse']",frog
17,3,26,"['dog'; 'deer'; 'bird'; 'cat']",deer
18,2,10,"['deer'; 'airplane'; 'dog'; 'truck']",deer
19,6,21,"['cat'; 'dog'; 'frog'; 'ship']",ship
20,4,29,"['cat'; 'bird'; 'airplane'; 'horse']",airplane
21,3,14,"['cat'; 'frog'; 'airplane'; 'automobile']",frog
22,6,33,"['deer'; 'airplane'; 'automobile'; 'frog']",airplane
23,6,16,"['frog'; 'deer'; 'automobile'; 'cat']",automobile
24,2,34,"['automobile'; 'dog'; 'deer'; 'cat']",automobile
25,6,14,"['cat'; 'automobile'; 'frog'; 'airplane']",airplane
26,3,27,"['deer'; 'truck'; 'dog'; 'ship']",truck
27,5,21,"['frog'; 'dog'; 'ship'; 'cat']",ship
28,4,32,"['frog'; 'ship'; 'horse'; 'deer']",ship
29,0,14,"['frog'; 'automobile'; 'cat'; 'airplane']",frog
30,0,30,"['airplane'; 'automobile'; 'dog'; 'bird']",dog
31,9,7,"['dog'; 'frog'; 'truck'; 'bird']",dog
32,1,9,"['bird'; 'truck'; 'frog'; 'automobile']",bird
33,3,27,"['ship'; 'truck'; 'deer'; 'dog']",deer
34,4,38,"['airplane'; 'deer'; 'dog'; 'bird']",dog
35,0,5,"['ship'; 'horse'; 'cat'; 'frog']",horse
36,3,27,"['truck'; 'dog'; 'deer'; 'ship']",deer
37,7,12,"['deer'; 'ship'; 'frog'; 'automobile']",ship
38,3,35,"['airplane'; 'dog'; 'bird'; 'horse']",airplane
39,3,20,"['deer'; 'dog'; 'frog'; 'horse']",dog
40,5,1,"['dog'; 'automobile'; 'cat'; 'bird']",automobile
41,2,0,"['truck'; 'airplane'; 'deer'; 'automobile']",deer
42,2,29,"['horse'; 'bird'; 'airplane'; 'cat']",airplane
43,7,12,"['deer'; 'ship'; 'frog'; 'automobile']",ship
44,1,9,"['bird'; 'automobile'; 'frog'; 'truck']",bird
45,1,23,"['dog'; 'airplane'; 'frog'; 'deer']",airplane
46,1,9,"['bird'; 'truck'; 'frog'; 'automobile']",bird
47,2,13,"['dog'; 'truck'; 'ship'; 'cat']",truck
48,2,0,"['deer'; 'automobile'; 'truck'; 'airplane']",truck
49,0,36,"['ship'; 'truck'; 'bird'; 'deer']",bird
50,9,7,"['frog'; 'bird'; 'truck'; 'dog']",frog
51,5,21,"['ship'; 'frog'; 'dog'; 'cat']",frog
52,7,12,"['ship'; 'automobile'; 'frog'; 'deer']",frog
53,9,25,"['automobile'; 'truck'; 'horse'; 'frog']",horse
54,2,13,"['truck'; 'ship'; 'dog'; 'cat']",truck
55,2,0,"['automobile'; 'airplane'; 'deer'; 'truck']",deer
56,5,26,"['deer'; 'cat'; 'bird'; 'dog']",bird
57,2,13,"['ship'; 'dog'; 'cat'; 'truck']",dog
58,4,32,"['frog'; 'deer'; 'ship'; 'horse']",ship
59,3,14,"['frog'; 'cat'; 'airplane'; 'automobile']",frog
60,1,9,"['automobile'; 'frog'; 'truck'; 'bird']",frog
61,1,3,"['automobile'; 'cat'; 'airplane'; 'ship']",cat
62,8,39,"['airplane'; 'horse'; 'ship'; 'dog']",horse
63,2,34,"['deer'; 'automobile'; 'cat'; 'dog']",automobile
64,1,9,"['truck'; 'automobile'; 'frog'; 'bird']",frog
65,1,3,"['cat'; 'airplane'; 'ship'; 'automobile']",cat
66,4,29,"['airplane'; 'horse'; 'cat'; 'bird']",cat
67,9,24,"['truck'; 'ship'; 'dog'; 'cat']",dog
68,7,18,"['automobile'; 'cat'; 'deer'; 'ship']",cat
69,8,31,"['automobile'; 'bird'; 'cat'; 'frog']",automobile
70,5,2,"['automobile'; 'frog'; 'airplane'; 'ship']",frog
71,9,7,"['frog'; 'truck'; 'dog'; 'bird']",frog
72,6,15,"['frog'; 'deer'; 'automobile'; 'cat']",automobile
73,7,18,"['ship'; 'cat'; 'deer'; 'automobile']",cat
74,3,21,"['dog'; 'ship'; 'cat'; 'frog']",ship
75,1,23,"['frog'; 'airplane'; 'dog'; 'deer']",airplane
76,9,25,"['automobile'; 'horse'; 'frog'; 'truck']",horse
77,0,30,"['automobile'; 'airplane'; 'dog'; 'bird']",dog
78,3,21,"['dog'; 'frog'; 'ship'; 'cat']",ship
79,1,3,"['cat'; 'ship'; 'airplane'; 'automobile']",cat
80,3,17,"['dog'; 'truck'; 'ship'; 'bird']",truck
81,5,14,"['airplane'; 'automobile'; 'cat'; 'frog']",airplane
82,4,8,"['airplane'; 'dog'; 'cat'; 'bird']",dog
83,5,1,"['automobile'; 'dog'; 'bird'; 'cat']",automobile
84,7,38,"['deer'; 'dog'; 'airplane'; 'bird']",airplane
85,7,37,"['truck'; 'automobile'; 'deer'; 'cat']",truck
86,4,38,"['airplane'; 'deer'; 'dog'; 'bird']",dog
