index,true_label,candidate_labels,complementary_label
0,6,"['automobile', 'cat', 'deer', 'truck']",truck
1,9,"['horse', 'bird', 'deer', 'dog']",horse
2,9,"['deer', 'horse', 'dog', 'bird']",deer
3,4,"['truck', 'ship', 'bird', 'cat']",ship
4,1,"['deer', 'bird', 'ship', 'dog']",ship
5,1,"['ship', 'deer', 'dog', 'bird']",deer
6,2,"['ship', 'dog', 'frog', 'truck']",truck
7,7,"['automobile', 'bird', 'truck', 'ship']",truck
8,8,"['deer', 'dog', 'automobile', 'horse']",automobile
9,3,"['horse', 'truck', 'deer', 'frog']",truck
10,4,"['ship', 'truck', 'cat', 'bird']",bird
11,7,"['truck', 'bird', 'automobile', 'ship']",bird
12,7,"['truck', 'automobile', 'bird', 'ship']",truck
13,2,"['frog', 'truck', 'ship', 'dog']",truck
14,9,"['bird', 'deer', 'horse', 'dog']",bird
15,9,"['bird', 'dog', 'horse', 'deer']",bird
16,9,"['bird', 'horse', 'dog', 'deer']",bird
17,3,"['horse', 'truck', 'frog', 'deer']",truck
18,2,"['ship', 'frog', 'truck', 'dog']",truck
19,6,"['truck', 'deer', 'cat', 'automobile']",truck
20,4,"['truck', 'bird', 'cat', 'ship']",truck
21,3,"['deer', 'horse', 'truck', 'frog']",truck
22,6,"['truck', 'cat', 'automobile', 'deer']",truck
23,6,"['cat', 'automobile', 'deer', 'truck']",truck
24,2,"['truck', 'dog', 'frog', 'ship']",ship
25,6,"['automobile', 'truck', 'deer', 'cat']",deer
26,3,"['truck', 'frog', 'deer', 'horse']",frog
27,5,"['cat', 'bird', 'frog', 'deer']",bird
28,4,"['bird', 'truck', 'cat', 'ship']",truck
29,0,"['truck', 'dog', 'automobile', 'horse']",dog
30,0,"['truck', 'automobile', 'horse', 'dog']",truck
31,9,"['dog', 'horse', 'deer', 'bird']",bird
32,1,"['bird', 'ship', 'dog', 'deer']",ship
33,3,"['truck', 'horse', 'deer', 'frog']",truck
34,4,"['truck', 'bird', 'cat', 'ship']",truck
35,0,"['truck', 'dog', 'automobile', 'horse']",dog
36,3,"['horse', 'frog', 'deer', 'truck']",truck
37,7,"['ship', 'truck', 'automobile', 'bird']",truck
38,3,"['horse', 'frog', 'deer', 'truck']",truck
39,3,"['truck', 'frog', 'horse', 'deer']",truck
40,5,"['deer', 'bird', 'frog', 'cat']",deer
41,2,"['frog', 'dog', 'truck', 'ship']",truck
42,2,"['truck', 'ship', 'frog', 'dog']",ship
43,7,"['bird', 'automobile', 'truck', 'ship']",truck
44,1,"['deer', 'bird', 'dog', 'ship']",ship
45,1,"['dog', 'bird', 'ship', 'deer']",ship
46,1,"['ship', 'bird', 'dog', 'deer']",bird
47,2,"['frog', 'dog', 'truck', 'ship']",truck
48,2,"['truck', 'dog', 'ship', 'frog']",ship
