index,true_label,candidate_labels,complementary_label
0,6,"['frog', 'dog', 'cat', 'deer']",dog
1,9,"['truck', 'ship', 'automobile', 'bird']",ship
2,9,"['truck', 'ship', 'automobile', 'bird']",ship
3,4,"['deer', 'horse', 'truck', 'bird']",truck
4,1,"['automobile', 'truck', 'horse', 'ship']",horse
5,1,"['automobile', 'truck', 'horse', 'ship']",horse
6,2,"['bird', 'deer', 'horse', 'truck']",deer
7,7,"['horse', 'deer', 'truck', 'dog']",truck
8,8,"['ship', 'bird', 'deer', 'automobile']",bird
9,3,"['cat', 'bird', 'dog', 'horse']",bird
10,4,"['deer', 'horse', 'truck', 'bird']",truck
11,7,"['horse', 'deer', 'truck', 'dog']",truck
12,7,"['horse', 'deer', 'truck', 'dog']",truck
13,2,"['bird', 'deer', 'horse', 'truck']",deer
14,9,"['truck', 'ship', 'automobile', 'bird']",ship
15,9,"['truck', 'ship', 'automobile', 'bird']",ship
16,9,"['truck', 'ship', 'automobile', 'bird']",ship
17,3,"['cat', 'bird', 'dog', 'horse']",bird
18,2,"['bird', 'deer', 'horse', 'truck']",deer
19,6,"['frog', 'dog', 'cat', 'deer']",dog
20,4,"['deer', 'horse', 'truck', 'bird']",truck
21,3,"['cat', 'bird', 'dog', 'horse']",bird
22,6,"['frog', 'dog', 'cat', 'deer']",dog
23,6,"['frog', 'dog', 'cat', 'deer']",dog
24,2,"['bird', 'deer', 'horse', 'truck']",deer
25,6,"['frog', 'dog', 'cat', 'deer']",deer
26,3,"['cat', 'bird', 'dog', 'horse']",bird
27,5,"['dog', 'truck', 'horse', 'bird']",truck
28,4,"['deer', 'horse', 'truck', 'bird']",truck
29,0,"['bird', 'airplane', 'ship', 'truck']",bird
30,0,"['bird', 'airplane', 'ship', 'truck']",bird
31,9,"['truck', 'ship', 'automobile', 'bird']",ship
32,1,"['automobile', 'truck', 'horse', 'ship']",horse
33,3,"['cat', 'bird', 'dog', 'horse']",bird
34,4,"['deer', 'horse', 'truck', 'bird']",truck
35,0,"['bird', 'airplane', 'ship', 'truck']",ship
36,3,"['cat', 'bird', 'dog', 'horse']",bird
37,7,"['horse', 'deer', 'truck', 'dog']",truck
38,3,"['cat', 'bird', 'dog', 'horse']",bird
39,3,"['cat', 'bird', 'dog', 'horse']",dog
40,5,"['dog', 'truck', 'horse', 'bird']",truck
