index,true_label,candidate_labels,complementary_label
0,6,"['bird', 'dog', 'frog', 'cat']",dog
1,9,"['automobile', 'horse', 'truck', 'ship']",horse
2,9,"['truck', 'ship', 'automobile', 'horse']",ship
3,4,"['deer', 'dog', 'horse', 'bird']",dog
4,1,"['automobile', 'truck', 'ship', 'horse']",ship
5,1,"['truck', 'horse', 'ship', 'automobile']",horse
6,2,"['horse', 'dog', 'deer', 'bird']",horse
7,7,"['horse', 'deer', 'dog', 'truck']",truck
8,8,"['ship', 'bird', 'automobile', 'truck']",bird
9,3,"['dog', 'horse', 'bird', 'cat']",horse
10,4,"['deer', 'bird', 'horse', 'dog']",bird
11,7,"['deer', 'dog', 'horse', 'truck']",deer
12,7,"['dog', 'truck', 'deer', 'horse']",truck
13,2,"['dog', 'horse', 'bird', 'deer']",dog
14,9,"['horse', 'automobile', 'truck', 'ship']",horse
15,9,"['ship', 'automobile', 'truck', 'horse']",horse
16,9,"['truck', 'horse', 'ship', 'automobile']",horse
17,3,"['bird', 'dog', 'cat', 'horse']",horse
18,2,"['deer', 'bird', 'horse', 'dog']",deer
19,6,"['dog', 'cat', 'frog', 'bird']",dog
20,4,"['dog', 'horse', 'bird', 'deer']",dog
21,3,"['dog', 'horse', 'bird', 'cat']",dog
22,6,"['dog', 'bird', 'cat', 'frog']",dog
23,6,"['frog', 'dog', 'bird', 'cat']",dog
24,2,"['dog', 'bird', 'horse', 'deer']",dog
25,6,"['frog', 'dog', 'cat', 'bird']",dog
26,3,"['horse', 'dog', 'cat', 'bird']",horse
27,5,"['dog', 'truck', 'horse', 'bird']",truck
28,4,"['dog', 'bird', 'horse', 'deer']",bird
29,0,"['automobile', 'ship', 'airplane', 'bird']",bird
30,0,"['bird', 'airplane', 'ship', 'automobile']",bird
31,9,"['horse', 'automobile', 'truck', 'ship']",horse
32,1,"['ship', 'truck', 'automobile', 'horse']",horse
33,3,"['dog', 'cat', 'bird', 'horse']",bird
34,4,"['bird', 'dog', 'horse', 'deer']",dog
35,0,"['bird', 'automobile', 'airplane', 'ship']",automobile
36,3,"['cat', 'dog', 'bird', 'horse']",bird
37,7,"['dog', 'horse', 'deer', 'truck']",truck
38,3,"['horse', 'bird', 'cat', 'dog']",horse
39,3,"['bird', 'horse', 'cat', 'dog']",horse
40,5,"['bird', 'truck', 'dog', 'horse']",truck
41,2,"['dog', 'horse', 'bird', 'deer']",horse
42,2,"['horse', 'dog', 'deer', 'bird']",dog
43,7,"['truck', 'deer', 'dog', 'horse']",deer
44,1,"['horse', 'ship', 'truck', 'automobile']",ship
45,1,"['truck', 'ship', 'automobile', 'horse']",ship
46,1,"['truck', 'automobile', 'horse', 'ship']",horse
47,2,"['dog', 'horse', 'deer', 'bird']",horse
48,2,"['dog', 'bird', 'horse', 'deer']",horse
49,0,"['automobile', 'ship', 'bird', 'airplane']",bird
50,9,"['automobile', 'truck', 'ship', 'horse']",ship
51,5,"['truck', 'dog', 'horse', 'bird']",truck
52,7,"['horse', 'truck', 'dog', 'deer']",truck
53,9,"['ship', 'automobile', 'horse', 'truck']",horse
54,2,"['dog', 'bird', 'deer', 'horse']",dog
55,2,"['bird', 'horse', 'dog', 'deer']",horse
56,5,"['bird', 'horse', 'dog', 'truck']",truck
57,2,"['horse', 'bird', 'dog', 'deer']",horse
58,4,"['deer', 'dog', 'bird', 'horse']",dog
59,3,"['horse', 'bird', 'dog', 'cat']",horse
60,1,"['truck', 'ship', 'horse', 'automobile']",ship
61,1,"['horse', 'automobile', 'ship', 'truck']",ship
62,8,"['bird', 'ship', 'truck', 'automobile']",truck
63,2,"['deer', 'bird', 'dog', 'horse']",dog
64,1,"['horse', 'truck', 'automobile', 'ship']",ship
65,1,"['truck', 'ship', 'horse', 'automobile']",ship
66,4,"['dog', 'deer', 'horse', 'bird']",bird
67,9,"['ship', 'truck', 'horse', 'automobile']",horse
68,7,"['deer', 'dog', 'truck', 'horse']",truck
69,8,"['ship', 'bird', 'truck', 'automobile']",truck
70,5,"['bird', 'truck', 'dog', 'horse']",truck
71,9,"['horse', 'truck', 'ship', 'automobile']",ship
72,6,"['dog', 'cat', 'frog', 'bird']",frog
73,7,"['horse', 'truck', 'dog', 'deer']",truck
74,3,"['dog', 'cat', 'bird', 'horse']",bird
75,1,"['automobile', 'truck', 'horse', 'ship']",horse
76,9,"['horse', 'ship', 'truck', 'automobile']",horse
77,0,"['ship', 'bird', 'airplane', 'automobile']",bird
78,3,"['bird', 'cat', 'horse', 'dog']",horse
79,1,"['automobile', 'ship', 'truck', 'horse']",ship
80,3,"['dog', 'cat', 'horse', 'bird']",horse
81,5,"['truck', 'horse', 'bird', 'dog']",horse
82,4,"['deer', 'bird', 'dog', 'horse']",dog
83,5,"['truck', 'horse', 'dog', 'bird']",truck
84,7,"['truck', 'horse', 'deer', 'dog']",truck
85,7,"['horse', 'truck', 'deer', 'dog']",truck
86,4,"['deer', 'bird', 'dog', 'horse']",bird
87,7,"['deer', 'horse', 'truck', 'dog']",truck
88,9,"['truck', 'ship', 'automobile', 'horse']",ship
89,4,"['horse', 'dog', 'deer', 'bird']",bird
90,2,"['horse', 'dog', 'bird', 'deer']",horse
91,3,"['dog', 'cat', 'horse', 'bird']",dog
92,8,"['bird', 'ship', 'truck', 'automobile']",truck
93,0,"['ship', 'bird', 'airplane', 'automobile']",bird
94,1,"['automobile', 'ship', 'truck', 'horse']",ship
95,6,"['bird', 'frog', 'dog', 'cat']",dog
96,1,"['automobile', 'truck', 'horse', 'ship']",horse
97,1,"['truck', 'ship', 'horse', 'automobile']",horse
98,4,"['bird', 'dog', 'horse', 'deer']",bird
99,1,"['horse', 'automobile', 'truck', 'ship']",horse
100,8,"['automobile', 'ship', 'truck', 'bird']",bird
101,3,"['dog', 'bird', 'horse', 'cat']",dog
102,9,"['ship', 'truck', 'horse', 'automobile']",horse
103,6,"['bird', 'frog', 'dog', 'cat']",dog
104,6,"['bird', 'cat', 'frog', 'dog']",dog
105,1,"['ship', 'automobile', 'truck', 'horse']",horse
106,8,"['ship', 'truck', 'automobile', 'bird']",truck
107,5,"['dog', 'truck', 'horse', 'bird']",truck
108,2,"['horse', 'dog', 'bird', 'deer']",horse
109,9,"['horse', 'ship', 'automobile', 'truck']",horse
110,9,"['ship', 'automobile', 'truck', 'horse']",horse
111,8,"['bird', 'ship', 'automobile', 'truck']",bird
112,1,"['ship', 'automobile', 'truck', 'horse']",horse
113,7,"['dog', 'horse', 'truck', 'deer']",truck
114,7,"['truck', 'deer', 'horse', 'dog']",deer
115,0,"['ship', 'airplane', 'automobile', 'bird']",bird
116,0,"['automobile', 'bird', 'airplane', 'ship']",bird
117,6,"['bird', 'cat', 'dog', 'frog']",dog
118,9,"['ship', 'automobile', 'horse', 'truck']",horse
119,1,"['automobile', 'ship', 'truck', 'horse']",ship
120,2,"['horse', 'bird', 'dog', 'deer']",horse
121,2,"['horse', 'dog', 'bird', 'deer']",bird
122,9,"['automobile', 'truck', 'horse', 'ship']",horse
123,2,"['horse', 'bird', 'deer', 'dog']",horse
124,6,"['bird', 'dog', 'frog', 'cat']",dog
125,6,"['dog', 'frog', 'cat', 'bird']",bird
126,1,"['truck', 'automobile', 'horse', 'ship']",horse
127,9,"['ship', 'truck', 'automobile', 'horse']",horse
128,5,"['bird', 'horse', 'truck', 'dog']",truck
129,0,"['bird', 'automobile', 'airplane', 'ship']",bird
130,4,"['deer', 'dog', 'bird', 'horse']",dog
131,7,"['dog', 'horse', 'truck', 'deer']",truck
132,6,"['frog', 'bird', 'dog', 'cat']",dog
133,7,"['dog', 'horse', 'deer', 'truck']",truck
134,1,"['automobile', 'horse', 'ship', 'truck']",horse
135,8,"['automobile', 'ship', 'truck', 'bird']",bird
136,1,"['ship', 'horse', 'automobile', 'truck']",horse
137,1,"['truck', 'ship', 'automobile', 'horse']",ship
138,2,"['deer', 'bird', 'dog', 'horse']",deer
139,8,"['automobile', 'bird', 'truck', 'ship']",bird
140,1,"['ship', 'automobile', 'truck', 'horse']",horse
141,3,"['dog', 'bird', 'cat', 'horse']",bird
142,3,"['bird', 'dog', 'horse', 'cat']",dog
143,6,"['cat', 'bird', 'dog', 'frog']",dog
144,2,"['horse', 'bird', 'dog', 'deer']",horse
145,4,"['bird', 'horse', 'dog', 'deer']",horse
146,9,"['ship', 'automobile', 'horse', 'truck']",horse
147,9,"['truck', 'horse', 'ship', 'automobile']",horse
148,5,"['truck', 'horse', 'bird', 'dog']",horse
149,4,"['horse', 'bird', 'dog', 'deer']",bird
150,3,"['horse', 'dog', 'bird', 'cat']",bird
151,6,"['dog', 'cat', 'frog', 'bird']",dog
