index,true_label,candidate_labels,complementary_label
0,11,"['large natural outdoor scenes'; 'flowers'; 'food containers']",food containers
1,15,"['medium-sized mammals'; 'flowers'; 'trees']",flowers
2,4,"['flowers'; 'aquatic mammals'; 'household furniture']",aquatic mammals
3,14,"['people'; 'trees'; 'food containers']",trees
4,1,"['fruit and vegetables'; 'insects'; 'vehicles 2']",Vehicles
5,5,"['aquatic mammals'; 'small mammals'; 'insects']",aquatic mammals
6,18,"['flowers'; 'large man-made outdoor things'; 'insects']",flowers
7,3,"['fish'; 'non-insect invertebrates'; 'vehicles 1']",fish
8,10,"['large carnivores'; 'household furniture'; 'fruit and vegetables']",household furniture
9,11,"['flowers'; 'large natural outdoor scenes'; 'food containers']",flowers
10,5,"['small mammals'; 'aquatic mammals'; 'insects']",aquatic mammals
11,17,"['flowers'; 'fish'; 'insects']",fish
12,2,"['food containers'; 'trees'; 'flowers']",food containers
13,9,"['large natural outdoor scenes'; 'household electrical devices'; 'non-insect invertebrates']",household electrical devices
14,10,"['household furniture'; 'large carnivores'; 'fruit and vegetables']",fruit and vegetables
15,5,"['small mammals'; 'aquatic mammals'; 'insects']",small mammals
16,18,"['flowers'; 'large man-made outdoor things'; 'insects']",flowers
17,8,"['large carnivores'; 'vehicles 1'; 'aquatic mammals']",vehicles 1
18,16,"['large man-made outdoor things'; 'household furniture'; 'large omnivores and herbivores']",household furniture
19,10,"['large carnivores'; 'fruit and vegetables'; 'household furniture']",fruit and vegetables
20,16,"['large man-made outdoor things'; 'large omnivores and herbivores'; 'household furniture']",large man-made outdoor things
21,17,"['flowers'; 'insects'; 'fish']",fish
22,2,"['trees'; 'food containers'; 'flowers']",food containers
23,5,"['aquatic mammals'; 'insects'; 'small mammals']",insects
24,17,"['insects'; 'flowers'; 'fish']",fish
25,6,"['vehicles 2'; 'trees'; 'household furniture']",trees
26,12,"['large omnivores and herbivores'; 'medium-sized mammals'; 'food containers']",food containers
27,17,"['flowers'; 'insects'; 'fish']",fish
28,8,"['large carnivores'; 'aquatic mammals'; 'vehicles 1']",Vehicles
29,12,"['large omnivores and herbivores'; 'medium-sized mammals'; 'food containers']",food containers
30,18,"['large man-made outdoor things'; 'flowers'; 'insects']",flowers
31,9,"['household electrical devices'; 'non-insect invertebrates'; 'large natural outdoor scenes']",household electrical devices
32,17,"['insects'; 'flowers'; 'fish']",fish
33,16,"['large man-made outdoor things'; 'large omnivores and herbivores'; 'household furniture']",household furniture
34,11,"['food containers'; 'large natural outdoor scenes'; 'flowers']",flowers
35,5,"['small mammals'; 'insects'; 'aquatic mammals']",aquatic mammals
36,19,"['medium-sized mammals'; 'large carnivores'; 'food containers']",food containers
37,14,"['trees'; 'food containers'; 'people']",trees
38,7,"['insects'; 'non-insect invertebrates'; 'people']",people
39,6,"['household furniture'; 'trees'; 'vehicles 2']",trees
40,15,"['medium-sized mammals'; 'flowers'; 'trees']",trees
41,13,"['large omnivores and herbivores'; 'fish'; 'large carnivores']",fish
42,10,"['fruit and vegetables'; 'household furniture'; 'large carnivores']",fruit and vegetables
43,8,"['aquatic mammals'; 'vehicles 1'; 'large carnivores']",vehicles 1
44,17,"['insects'; 'fish'; 'flowers']",fish
45,9,"['household electrical devices'; 'non-insect invertebrates'; 'large natural outdoor scenes']",household electrical devices
46,14,"['food containers'; 'trees'; 'people']",trees
47,18,"['large man-made outdoor things'; 'insects'; 'flowers']",flowers
48,19,"['food containers'; 'large carnivores'; 'medium-sized mammals']",large carnivores
49,15,"['trees'; 'medium-sized mammals'; 'flowers']",flowers
50,1,"['insects'; 'vehicles 2'; 'fruit and vegetables']",Vehicles
51,7,"['people'; 'insects'; 'non-insect invertebrates']",people
52,5,"['insects'; 'aquatic mammals'; 'small mammals']",aquatic mammals
53,3,"['non-insect invertebrates'; 'fish'; 'vehicles 1']",non-insect invertebrates
54,10,"['fruit and vegetables'; 'household furniture'; 'large carnivores']",fruit and vegetables
55,7,"['insects'; 'people'; 'non-insect invertebrates']",people
56,17,"['fish'; 'insects'; 'flowers']",fish
57,6,"['household furniture'; 'vehicles 2'; 'trees']",trees
58,14,"['people'; 'food containers'; 'trees']",food containers
59,17,"['fish'; 'flowers'; 'insects']",fish
60,16,"['large omnivores and herbivores'; 'large man-made outdoor things'; 'household furniture']",household furniture
61,0,"['large carnivores'; 'aquatic mammals'; 'food containers']",food containers
62,0,"['large carnivores'; 'food containers'; 'aquatic mammals']",food containers
63,8,"['large carnivores'; 'vehicles 1'; 'aquatic mammals']",vehicles 1
64,4,"['flowers'; 'household furniture'; 'aquatic mammals']",household furniture
65,14,"['people'; 'food containers'; 'trees']",food containers
