index,true_label,candidate_labels,complementary_label
0,6,"['deer', 'truck', 'horse', 'automobile']",truck
1,9,"['frog', 'bird', 'deer', 'dog']",frog
2,9,"['dog', 'frog', 'bird', 'deer']",bird
3,4,"['cat', 'truck', 'automobile', 'ship']",truck
4,1,"['frog', 'bird', 'deer', 'dog']",frog
5,1,"['dog', 'frog', 'bird', 'deer']",bird
6,2,"['truck', 'cat', 'frog', 'ship']",ship
7,7,"['bird', 'ship', 'automobile', 'cat']",ship
8,8,"['horse', 'deer', 'dog', 'airplane']",horse
9,3,"['frog', 'ship', 'deer', 'truck']",ship
10,4,"['cat', 'ship', 'automobile', 'truck']",ship
11,7,"['bird', 'automobile', 'cat', 'ship']",automobile
12,7,"['ship', 'bird', 'cat', 'automobile']",cat
13,2,"['frog', 'truck', 'cat', 'ship']",truck
14,9,"['deer', 'dog', 'bird', 'frog']",dog
15,9,"['dog', 'bird', 'deer', 'frog']",bird
16,9,"['dog', 'bird', 'deer', 'frog']",bird
17,3,"['deer', 'ship', 'truck', 'frog']",ship
18,2,"['truck', 'frog', 'ship', 'cat']",ship
19,6,"['deer', 'automobile', 'truck', 'horse']",truck
20,4,"['truck', 'ship', 'cat', 'automobile']",cat
21,3,"['deer', 'truck', 'frog', 'ship']",truck
22,6,"['deer', 'automobile', 'truck', 'horse']",truck
23,6,"['horse', 'deer', 'automobile', 'truck']",automobile
24,2,"['ship', 'truck', 'frog', 'cat']",truck
25,6,"['deer', 'automobile', 'horse', 'truck']",truck
26,3,"['deer', 'ship', 'frog', 'truck']",ship
27,5,"['cat', 'frog', 'ship', 'deer']",ship
28,4,"['cat', 'ship', 'automobile', 'truck']",ship
29,0,"['dog', 'truck', 'deer', 'horse']",deer
30,0,"['deer', 'dog', 'truck', 'horse']",truck
31,9,"['frog', 'deer', 'bird', 'dog']",frog
32,1,"['bird', 'dog', 'frog', 'deer']",bird
33,3,"['deer', 'truck', 'frog', 'ship']",truck
34,4,"['ship', 'truck', 'cat', 'automobile']",cat
35,0,"['dog', 'deer', 'truck', 'horse']",truck
36,3,"['deer', 'frog', 'ship', 'truck']",ship
37,7,"['bird', 'cat', 'ship', 'automobile']",ship
38,3,"['truck', 'frog', 'deer', 'ship']",deer
39,3,"['frog', 'truck', 'ship', 'deer']",truck
40,5,"['ship', 'deer', 'cat', 'frog']",deer
41,2,"['cat', 'ship', 'truck', 'frog']",ship
42,2,"['frog', 'truck', 'ship', 'cat']",truck
43,7,"['bird', 'ship', 'automobile', 'cat']",ship
44,1,"['bird', 'deer', 'dog', 'frog']",bird
45,1,"['deer', 'frog', 'dog', 'bird']",frog
46,1,"['frog', 'dog', 'bird', 'deer']",frog
47,2,"['cat', 'frog', 'truck', 'ship']",truck
48,2,"['frog', 'ship', 'truck', 'cat']",ship
49,0,"['dog', 'deer', 'truck', 'horse']",truck
50,9,"['bird', 'deer', 'dog', 'frog']",bird
51,5,"['frog', 'cat', 'ship', 'deer']",ship
52,7,"['automobile', 'bird', 'ship', 'cat']",ship
53,9,"['frog', 'dog', 'bird', 'deer']",frog
54,2,"['cat', 'truck', 'ship', 'frog']",truck
55,2,"['frog', 'cat', 'ship', 'truck']",ship
56,5,"['frog', 'deer', 'cat', 'ship']",ship
57,2,"['ship', 'frog', 'truck', 'cat']",truck
58,4,"['truck', 'automobile', 'cat', 'ship']",truck
59,3,"['deer', 'frog', 'truck', 'ship']",deer
60,1,"['deer', 'dog', 'frog', 'bird']",dog
61,1,"['frog', 'deer', 'bird', 'dog']",frog
62,8,"['horse', 'deer', 'dog', 'airplane']",horse
63,2,"['cat', 'truck', 'ship', 'frog']",truck
64,1,"['bird', 'dog', 'deer', 'frog']",bird
65,1,"['dog', 'deer', 'frog', 'bird']",bird
66,4,"['automobile', 'truck', 'cat', 'ship']",cat
67,9,"['dog', 'frog', 'deer', 'bird']",bird
68,7,"['cat', 'automobile', 'bird', 'ship']",automobile
69,8,"['airplane', 'dog', 'deer', 'horse']",dog
70,5,"['cat', 'deer', 'ship', 'frog']",ship
71,9,"['frog', 'deer', 'dog', 'bird']",frog
72,6,"['deer', 'truck', 'automobile', 'horse']",truck
73,7,"['bird', 'ship', 'automobile', 'cat']",ship
74,3,"['truck', 'frog', 'deer', 'ship']",frog
75,1,"['bird', 'dog', 'deer', 'frog']",bird
76,9,"['frog', 'deer', 'dog', 'bird']",frog
77,0,"['horse', 'deer', 'dog', 'truck']",horse
78,3,"['ship', 'deer', 'truck', 'frog']",deer
79,1,"['dog', 'frog', 'bird', 'deer']",bird
80,3,"['deer', 'frog', 'truck', 'ship']",truck
81,5,"['ship', 'cat', 'frog', 'deer']",frog
82,4,"['automobile', 'cat', 'truck', 'ship']",ship
83,5,"['cat', 'deer', 'frog', 'ship']",ship
84,7,"['bird', 'ship', 'automobile', 'cat']",ship
85,7,"['bird', 'automobile', 'ship', 'cat']",automobile
86,4,"['cat', 'truck', 'automobile', 'ship']",truck
87,7,"['bird', 'cat', 'automobile', 'ship']",automobile
88,9,"['bird', 'deer', 'dog', 'frog']",bird
89,4,"['ship', 'cat', 'automobile', 'truck']",truck
90,2,"['truck', 'frog', 'ship', 'cat']",frog
91,3,"['ship', 'deer', 'truck', 'frog']",deer
92,8,"['deer', 'horse', 'dog', 'airplane']",airplane
93,0,"['dog', 'deer', 'horse', 'truck']",truck
94,1,"['frog', 'bird', 'deer', 'dog']",frog
95,6,"['automobile', 'truck', 'horse', 'deer']",horse
96,1,"['bird', 'dog', 'frog', 'deer']",bird
97,1,"['bird', 'deer', 'dog', 'frog']",bird
98,4,"['truck', 'automobile', 'cat', 'ship']",truck
99,1,"['dog', 'frog', 'deer', 'bird']",frog
100,8,"['horse', 'airplane', 'dog', 'deer']",horse
101,3,"['ship', 'deer', 'frog', 'truck']",deer
102,9,"['dog', 'bird', 'frog', 'deer']",bird
103,6,"['automobile', 'deer', 'truck', 'horse']",truck
