index,true_label,predicted_label
0,6,bird
1,9,truck
2,9,truck
3,4,deer
4,1,automobile
5,1,automobile
6,2,bird
7,7,horse
8,8,ship
9,3,cat
10,4,deer
11,7,horse
12,7,horse
13,2,bird
14,9,truck
15,9,truck
16,9,truck
17,3,cat
18,2,bird
19,6,frog
20,4,deer
21,3,cat
22,6,frog
23,6,cat
24,2,bird
25,6,truck
26,3,cat
27,5,dog
28,4,horse
29,0,airplane
30,0,airplane
31,9,truck
32,1,automobile
33,3,cat
34,4,deer
35,0,airplane
36,3,cat
37,7,horse
38,3,cat
39,3,cat
40,5,dog
41,2,bird
42,2,bird
43,7,horse
44,1,automobile
45,1,automobile
46,1,automobile
47,2,bird
48,2,bird
49,0,airplane
50,9,truck
51,5,dog
52,7,horse
53,9,truck
54,2,bird
55,2,bird
56,5,cat
57,2,bird
58,4,horse
59,3,cat
60,1,automobile
61,1,automobile
62,8,ship
63,2,bird
0,1,automobile
1,1,automobile
2,4,horse
3,9,truck
4,7,horse
5,8,ship
6,5,dog
7,9,truck
8,6,dog
9,7,horse
10,3,cat
11,1,automobile
12,9,truck
13,0,airplane
14,3,cat
15,1,automobile
16,3,cat
17,5,dog
18,4,deer
19,5,dog
20,7,horse
21,7,horse
22,4,deer
23,7,horse
24,9,truck
25,4,dog
26,2,bird
27,3,cat
28,8,ship
29,0,airplane
30,1,automobile
31,6,frog
32,1,automobile
33,1,automobile
34,4,horse
35,1,automobile
36,8,ship
37,3,cat
38,9,truck
39,6,frog
40,6,frog
41,1,automobile
42,8,ship
43,5,horse
44,2,bird
45,9,truck
46,9,truck
47,8,ship
48,1,automobile
49,7,horse
50,7,horse
51,0,airplane
52,0,truck
53,6,cat
54,9,truck
55,1,automobile
56,2,bird
57,2,bird
58,9,truck
59,2,bird
60,6,frog
61,6,dog
62,1,automobile
63,9,truck
0,5,dog
1,0,airplane
2,4,bird
3,7,horse
4,6,bird
5,7,horse
6,1,automobile
7,8,ship
8,1,automobile
9,1,automobile
10,2,bird
11,8,ship
12,1,automobile
13,3,cat
14,3,cat
15,6,bird
16,2,bird
17,4,deer
18,9,automobile
19,9,truck
20,5,dog
21,4,deer
22,3,cat
23,6,frog
24,7,horse
25,4,deer
26,6,ship
27,8,ship
28,5,dog
29,5,dog
30,4,deer
31,3,cat
32,1,automobile
33,8,ship
34,4,deer
35,7,horse
36,6,truck
37,0,airplane
38,9,truck
39,5,dog
40,1,automobile
41,3,cat
42,8,ship
43,2,bird
44,7,horse
45,5,dog
46,3,cat
47,4,deer
48,1,automobile
49,5,dog
50,7,horse
51,0,airplane
52,4,deer
53,7,horse
54,5,dog
55,5,dog
56,1,automobile
57,0,airplane
58,9,truck
59,6,frog
60,9,truck
61,0,airplane
62,8,ship
63,7,ship
0,8,ship
1,8,ship
2,2,bird
3,5,dog
4,2,bird
5,3,cat
6,5,dog
7,0,airplane
8,6,frog
9,1,automobile
10,9,truck
11,3,cat
12,6,bird
13,9,truck
14,1,automobile
15,3,cat
16,9,truck
17,6,truck
18,6,truck
19,7,horse
20,1,automobile
21,0,airplane
22,9,truck
23,5,dog
24,8,ship
25,5,dog
26,2,bird
27,9,truck
28,0,airplane
29,8,ship
30,8,ship
31,0,airplane
32,6,bird
33,9,truck
34,1,automobile
35,1,automobile
36,6,bird
37,3,cat
38,7,horse
39,6,frog
40,6,bird
41,0,airplane
42,6,bird
43,6,bird
44,1,automobile
45,7,horse
46,1,automobile
47,5,dog
48,8,ship
49,3,cat
50,6,bird
51,6,cat
52,8,ship
53,6,frog
54,8,ship
55,4,ship
56,6,frog
57,6,frog
58,1,automobile
59,3,truck
60,8,ship
61,3,cat
62,4,deer
63,1,automobile
0,7,horse
1,1,automobile
2,3,cat
3,8,ship
4,5,dog
5,1,automobile
6,1,automobile
7,4,deer
8,0,airplane
9,9,truck
10,3,cat
11,7,horse
12,4,dog
13,9,truck
14,9,truck
15,2,bird
16,4,deer
17,9,truck
18,9,truck
19,1,automobile
20,0,airplane
21,5,dog
22,9,truck
23,0,airplane
24,8,ship
25,2,bird
26,1,automobile
27,2,bird
28,0,airplane
29,5,dog
30,6,frog
31,3,cat
32,2,bird
33,7,horse
34,8,ship
35,8,ship
36,6,frog
37,0,airplane
38,7,horse
39,9,truck
40,4,deer
41,5,dog
42,6,bird
43,4,deer
44,2,bird
45,1,automobile
46,1,automobile
47,2,bird
48,1,automobile
49,5,dog
50,9,truck
51,9,truck
52,0,airplane
53,8,ship
54,4,bird
55,1,automobile
56,1,automobile
57,6,frog
58,3,cat
59,3,cat
60,9,truck
61,0,airplane
62,7,horse
63,9,truck
0,7,horse
1,7,horse
2,9,truck
3,1,automobile
4,5,dog
5,1,automobile
6,6,cat
7,6,bird
8,8,ship
9,7,horse
10,1,automobile
11,3,cat
12,0,airplane
13,3,cat
14,3,dog
15,2,bird
16,4,deer
17,5,dog
18,7,horse
19,5,dog
20,9,truck
21,0,airplane
22,3,cat
23,4,deer
24,0,airplane
25,4,horse
26,4,deer
27,6,bird
28,0,airplane
29,0,airplane
30,6,frog
31,6,frog
32,0,airplane
33,8,ship
34,1,automobile
35,6,frog
36,2,bird
37,9,truck
38,2,bird
39,5,dog
40,9,truck
41,6,frog
42,7,horse
43,4,deer
44,1,automobile
45,8,ship
46,7,horse
47,3,cat
48,6,bird
49,9,truck
50,3,cat
51,0,airplane
52,4,deer
53,0,airplane
54,5,dog
55,1,automobile
56,0,airplane
57,3,cat
58,4,deer
59,8,ship
60,5,dog
61,4,horse
62,7,horse
63,2,bird
0,3,cat
1,9,truck
2,7,horse
3,6,frog
4,7,horse
5,1,automobile
6,4,deer
7,7,horse
8,0,airplane
9,1,automobile
10,7,horse
11,3,cat
12,1,truck
13,8,ship
14,4,deer
15,4,deer
16,2,bird
17,0,ship
18,2,bird
19,2,bird
20,0,airplane
21,0,airplane
22,9,truck
23,0,airplane
24,9,truck
25,6,frog
26,8,ship
27,2,bird
28,7,horse
29,7,horse
30,4,horse
31,0,airplane
32,3,cat
33,0,airplane
34,8,ship
35,9,truck
36,4,deer
37,2,bird
38,7,horse
39,2,dog
40,5,cat
41,2,bird
42,5,dog
43,1,automobile
44,9,truck
45,4,horse
46,8,ship
47,5,dog
48,1,automobile
49,7,horse
50,4,deer
51,4,deer
52,0,airplane
53,6,frog
54,9,truck
55,0,airplane
56,7,horse
57,8,ship
58,8,ship
59,9,truck
60,9,truck
61,3,cat
62,3,bird
63,4,horse
0,0,airplane
1,4,deer
2,5,dog
3,6,frog
4,6,frog
5,0,airplane
6,1,automobile
7,0,airplane
8,8,ship
9,0,airplane
10,4,deer
11,8,ship
12,8,ship
13,1,automobile
14,5,dog
15,2,bird
16,6,frog
17,8,ship
18,1,automobile
19,0,truck
20,0,airplane
21,7,horse
22,7,horse
23,5,dog
24,9,truck
25,6,bird
26,2,bird
27,8,ship
28,3,cat
29,4,dog
30,7,horse
31,3,cat
32,9,truck
33,0,airplane
34,1,automobile
35,2,bird
36,4,dog
37,8,ship
38,1,automobile
39,8,ship
40,6,frog
41,4,deer
42,4,deer
43,5,dog
44,7,horse
45,1,automobile
46,3,cat
47,9,truck
48,8,ship
49,0,airplane
50,1,automobile
51,7,horse
52,5,dog
53,8,ship
54,2,bird
55,8,ship
56,0,airplane
57,4,horse
58,1,automobile
59,8,ship
60,9,truck
61,8,ship
62,2,bird
63,9,truck
0,9,truck
1,2,bird
2,7,horse
3,5,dog
4,7,horse
5,3,cat
6,8,ship
7,8,ship
8,4,deer
9,4,deer
10,2,bird
11,7,horse
12,1,automobile
13,6,dog
14,4,bird
15,0,airplane
16,4,deer
17,6,bird
18,9,truck
19,7,horse
20,6,frog
21,2,bird
22,5,dog
23,5,dog
24,1,automobile
25,7,horse
26,2,bird
27,2,bird
28,2,bird
29,9,truck
30,5,dog
31,4,deer
32,2,truck
33,7,horse
34,8,ship
35,1,automobile
36,3,cat
37,4,deer
38,3,cat
39,7,horse
40,6,frog
41,9,truck
42,8,ship
43,0,dog
44,6,frog
45,0,airplane
46,2,bird
47,2,bird
48,2,bird
49,1,automobile
50,8,ship
51,4,deer
52,0,airplane
53,1,automobile
54,8,ship
55,8,ship
56,1,automobile
57,5,dog
58,7,horse
59,6,frog
60,4,deer
61,5,dog
62,8,ship
63,7,horse
0,1,automobile
1,9,truck
2,1,automobile
3,9,truck
4,8,ship
5,4,deer
6,7,horse
7,3,cat
8,8,ship
9,8,ship
10,2,bird
11,6,frog
12,6,frog
13,7,horse
14,1,automobile
15,6,bird
16,8,ship
