index,true_label,candidate_labels,complementary_label
0,6,"['ship', 'automobile', 'deer', 'horse']",ship
1,9,"['dog', 'frog', 'deer', 'cat']",deer
2,9,"['frog', 'dog', 'cat', 'deer']",frog
3,4,"['frog', 'automobile', 'ship', 'cat']",automobile
4,1,"['cat', 'bird', 'dog', 'frog']",bird
5,1,"['dog', 'cat', 'frog', 'bird']",dog
6,2,"['automobile', 'cat', 'ship', 'truck']",truck
7,7,"['airplane', 'automobile', 'ship', 'cat']",cat
8,8,"['horse', 'cat', 'airplane', 'dog']",horse
9,3,"['ship', 'frog', 'automobile', 'deer']",automobile
10,4,"['ship', 'cat', 'frog', 'automobile']",automobile
11,7,"['ship', 'automobile', 'airplane', 'cat']",cat
12,7,"['airplane', 'ship', 'cat', 'automobile']",cat
13,2,"['cat', 'automobile', 'truck', 'ship']",truck
14,9,"['cat', 'frog', 'dog', 'deer']",dog
15,9,"['frog', 'dog', 'cat', 'deer']",dog
16,9,"['cat', 'frog', 'dog', 'deer']",dog
17,3,"['frog', 'automobile', 'ship', 'deer']",automobile
18,2,"['truck', 'ship', 'automobile', 'cat']",cat
19,6,"['ship', 'deer', 'automobile', 'horse']",horse
20,4,"['cat', 'frog', 'ship', 'automobile']",ship
21,3,"['frog', 'ship', 'automobile', 'deer']",ship
22,6,"['ship', 'automobile', 'horse', 'deer']",automobile
23,6,"['automobile', 'horse', 'ship', 'deer']",automobile
24,2,"['truck', 'automobile', 'cat', 'ship']",truck
25,6,"['automobile', 'horse', 'ship', 'deer']",horse
26,3,"['automobile', 'frog', 'deer', 'ship']",frog
27,5,"['frog', 'cat', 'airplane', 'ship']",airplane
28,4,"['automobile', 'cat', 'ship', 'frog']",ship
29,0,"['frog', 'dog', 'deer', 'horse']",deer
30,0,"['horse', 'dog', 'deer', 'frog']",horse
31,9,"['deer', 'dog', 'frog', 'cat']",dog
32,1,"['cat', 'dog', 'bird', 'frog']",bird
33,3,"['automobile', 'frog', 'ship', 'deer']",frog
34,4,"['automobile', 'frog', 'ship', 'cat']",ship
35,0,"['frog', 'deer', 'dog', 'horse']",deer
36,3,"['deer', 'frog', 'ship', 'automobile']",ship
37,7,"['automobile', 'cat', 'ship', 'airplane']",cat
38,3,"['deer', 'automobile', 'ship', 'frog']",ship
39,3,"['ship', 'automobile', 'deer', 'frog']",ship
40,5,"['ship', 'cat', 'frog', 'airplane']",frog
41,2,"['truck', 'automobile', 'ship', 'cat']",cat
42,2,"['truck', 'automobile', 'ship', 'cat']",cat
43,7,"['automobile', 'airplane', 'cat', 'ship']",cat
44,1,"['frog', 'bird', 'cat', 'dog']",frog
45,1,"['frog', 'cat', 'dog', 'bird']",frog
46,1,"['cat', 'frog', 'dog', 'bird']",bird
47,2,"['cat', 'automobile', 'truck', 'ship']",truck
48,2,"['truck', 'automobile', 'cat', 'ship']",cat
49,0,"['horse', 'dog', 'deer', 'frog']",horse
50,9,"['deer', 'frog', 'cat', 'dog']",deer
51,5,"['airplane', 'frog', 'ship', 'cat']",frog
52,7,"['ship', 'automobile', 'airplane', 'cat']",cat
53,9,"['dog', 'deer', 'frog', 'cat']",deer
54,2,"['truck', 'automobile', 'cat', 'ship']",truck
55,2,"['ship', 'cat', 'automobile', 'truck']",truck
56,5,"['frog', 'cat', 'airplane', 'ship']",airplane
57,2,"['ship', 'automobile', 'truck', 'cat']",truck
58,4,"['automobile', 'ship', 'frog', 'cat']",ship
59,3,"['frog', 'deer', 'automobile', 'ship']",frog
60,1,"['cat', 'bird', 'dog', 'frog']",bird
61,1,"['dog', 'cat', 'bird', 'frog']",dog
62,8,"['airplane', 'dog', 'horse', 'cat']",dog
63,2,"['automobile', 'cat', 'truck', 'ship']",ship
64,1,"['dog', 'bird', 'frog', 'cat']",dog
65,1,"['frog', 'cat', 'dog', 'bird']",frog
66,4,"['automobile', 'frog', 'cat', 'ship']",ship
67,9,"['cat', 'dog', 'deer', 'frog']",dog
68,7,"['automobile', 'airplane', 'ship', 'cat']",cat
69,8,"['cat', 'horse', 'dog', 'airplane']",airplane
70,5,"['cat', 'frog', 'airplane', 'ship']",airplane
71,9,"['dog', 'deer', 'cat', 'frog']",dog
72,6,"['horse', 'ship', 'deer', 'automobile']",ship
73,7,"['cat', 'airplane', 'automobile', 'ship']",airplane
74,3,"['ship', 'frog', 'deer', 'automobile']",deer
75,1,"['cat', 'dog', 'bird', 'frog']",bird
76,9,"['deer', 'frog', 'cat', 'dog']",frog
77,0,"['horse', 'dog', 'frog', 'deer']",horse
78,3,"['deer', 'automobile', 'frog', 'ship']",automobile
79,1,"['dog', 'cat', 'frog', 'bird']",dog
80,3,"['deer', 'automobile', 'frog', 'ship']",automobile
81,5,"['frog', 'airplane', 'ship', 'cat']",airplane
82,4,"['frog', 'automobile', 'cat', 'ship']",automobile
83,5,"['ship', 'frog', 'airplane', 'cat']",frog
84,7,"['ship', 'cat', 'airplane', 'automobile']",cat
85,7,"['automobile', 'ship', 'airplane', 'cat']",ship
86,4,"['ship', 'frog', 'cat', 'automobile']",frog
87,7,"['cat', 'automobile', 'ship', 'airplane']",automobile
88,9,"['frog', 'cat', 'deer', 'dog']",frog
89,4,"['automobile', 'cat', 'frog', 'ship']",ship
90,2,"['automobile', 'ship', 'cat', 'truck']",ship
91,3,"['ship', 'automobile', 'frog', 'deer']",ship
92,8,"['horse', 'cat', 'airplane', 'dog']",airplane
93,0,"['deer', 'dog', 'frog', 'horse']",deer
94,1,"['dog', 'bird', 'cat', 'frog']",dog
95,6,"['horse', 'ship', 'deer', 'automobile']",ship
96,1,"['cat', 'dog', 'bird', 'frog']",bird
97,1,"['frog', 'cat', 'dog', 'bird']",frog
98,4,"['automobile', 'frog', 'cat', 'ship']",ship
99,1,"['bird', 'frog', 'cat', 'dog']",bird
100,8,"['horse', 'cat', 'dog', 'airplane']",horse
101,3,"['automobile', 'frog', 'ship', 'deer']",frog
102,9,"['dog', 'cat', 'frog', 'deer']",deer
103,6,"['ship', 'deer', 'automobile', 'horse']",automobile
104,6,"['automobile', 'horse', 'ship', 'deer']",horse
105,1,"['bird', 'cat', 'dog', 'frog']",dog
106,8,"['dog', 'cat', 'airplane', 'horse']",dog
107,5,"['ship', 'cat', 'airplane', 'frog']",ship
108,2,"['automobile', 'ship', 'truck', 'cat']",cat
109,9,"['frog', 'dog', 'cat', 'deer']",dog
110,9,"['deer', 'cat', 'dog', 'frog']",cat
111,8,"['airplane', 'cat', 'dog', 'horse']",cat
112,1,"['cat', 'frog', 'dog', 'bird']",bird
113,7,"['automobile', 'airplane', 'ship', 'cat']",cat
114,7,"['airplane', 'cat', 'automobile', 'ship']",cat
115,0,"['frog', 'deer', 'dog', 'horse']",deer
116,0,"['dog', 'frog', 'deer', 'horse']",deer
117,6,"['horse', 'ship', 'automobile', 'deer']",ship
118,9,"['deer', 'dog', 'frog', 'cat']",dog
119,1,"['frog', 'cat', 'bird', 'dog']",frog
120,2,"['cat', 'truck', 'ship', 'automobile']",truck
121,2,"['ship', 'truck', 'cat', 'automobile']",truck
122,9,"['deer', 'cat', 'dog', 'frog']",cat
123,2,"['automobile', 'ship', 'cat', 'truck']",truck
124,6,"['horse', 'ship', 'automobile', 'deer']",ship
125,6,"['automobile', 'horse', 'ship', 'deer']",automobile
126,1,"['bird', 'cat', 'frog', 'dog']",bird
127,9,"['frog', 'deer', 'cat', 'dog']",frog
128,5,"['ship', 'cat', 'airplane', 'frog']",airplane
129,0,"['horse', 'dog', 'frog', 'deer']",horse
130,4,"['automobile', 'cat', 'frog', 'ship']",ship
131,7,"['ship', 'automobile', 'airplane', 'cat']",cat
132,6,"['ship', 'automobile', 'horse', 'deer']",ship
133,7,"['airplane', 'ship', 'automobile', 'cat']",cat
134,1,"['cat', 'dog', 'bird', 'frog']",bird
135,8,"['dog', 'cat', 'horse', 'airplane']",horse
136,1,"['cat', 'dog', 'frog', 'bird']",bird
137,1,"['dog', 'bird', 'frog', 'cat']",dog
138,2,"['truck', 'cat', 'ship', 'automobile']",truck
139,8,"['airplane', 'horse', 'cat', 'dog']",horse
140,1,"['frog', 'cat', 'dog', 'bird']",frog
141,3,"['automobile', 'deer', 'ship', 'frog']",ship
142,3,"['frog', 'deer', 'automobile', 'ship']",automobile
143,6,"['automobile', 'deer', 'ship', 'horse']",ship
144,2,"['truck', 'ship', 'cat', 'automobile']",truck
145,4,"['automobile', 'frog', 'ship', 'cat']",ship
146,9,"['cat', 'deer', 'frog', 'dog']",frog
147,9,"['deer', 'frog', 'dog', 'cat']",dog
148,5,"['frog', 'cat', 'ship', 'airplane']",ship
149,4,"['ship', 'automobile', 'frog', 'cat']",frog
150,3,"['frog', 'automobile', 'ship', 'deer']",automobile
151,6,"['automobile', 'ship', 'horse', 'deer']",horse
152,7,"['cat', 'automobile', 'airplane', 'ship']",automobile
153,4,"['frog', 'ship', 'cat', 'automobile']",ship
154,6,"['deer', 'automobile', 'ship', 'horse']",automobile
155,8,"['cat', 'dog', 'airplane', 'horse']",airplane
156,5,"['airplane', 'frog', 'ship', 'cat']",ship
157,5,"['cat', 'airplane', 'frog', 'ship']",airplane
158,4,"['cat', 'automobile', 'ship', 'frog']",automobile
159,3,"['ship', 'frog', 'deer', 'automobile']",deer
160,1,"['cat', 'bird', 'frog', 'dog']",bird
161,8,"['horse', 'dog', 'airplane', 'cat']",airplane
162,4,"['cat', 'automobile', 'ship', 'frog']",automobile
163,7,"['automobile', 'cat', 'airplane', 'ship']",cat
164,6,"['horse', 'deer', 'automobile', 'ship']",automobile
165,0,"['horse', 'frog', 'deer', 'dog']",dog
166,9,"['frog', 'dog', 'deer', 'cat']",frog
167,5,"['cat', 'airplane', 'ship', 'frog']",airplane
168,1,"['dog', 'bird', 'frog', 'cat']",dog
169,3,"['deer', 'automobile', 'ship', 'frog']",ship
170,8,"['horse', 'dog', 'airplane', 'cat']",airplane
171,2,"['truck', 'cat', 'automobile', 'ship']",cat
172,7,"['cat', 'ship', 'airplane', 'automobile']",ship
173,5,"['ship', 'frog', 'airplane', 'cat']",frog
174,3,"['frog', 'automobile', 'deer', 'ship']",automobile
175,4,"['ship', 'frog', 'automobile', 'cat']",automobile
176,1,"['dog', 'cat', 'frog', 'bird']",dog
177,5,"['cat', 'ship', 'frog', 'airplane']",ship
178,7,"['ship', 'cat', 'airplane', 'automobile']",cat
179,0,"['horse', 'deer', 'frog', 'dog']",horse
180,4,"['automobile', 'frog', 'cat', 'ship']",ship
181,7,"['ship', 'automobile', 'cat', 'airplane']",cat
182,5,"['ship', 'airplane', 'frog', 'cat']",frog
183,5,"['frog', 'cat', 'airplane', 'ship']",airplane
184,1,"['frog', 'dog', 'cat', 'bird']",dog
185,0,"['horse', 'frog', 'deer', 'dog']",horse
186,9,"['frog', 'cat', 'deer', 'dog']",frog
187,6,"['horse', 'ship', 'deer', 'automobile']",ship
188,9,"['deer', 'frog', 'dog', 'cat']",dog
189,0,"['dog', 'deer', 'frog', 'horse']",deer
190,8,"['cat', 'dog', 'horse', 'airplane']",airplane
191,7,"['cat', 'ship', 'airplane', 'automobile']",cat
192,8,"['dog', 'cat', 'airplane', 'horse']",dog
193,8,"['horse', 'dog', 'cat', 'airplane']",airplane
194,2,"['cat', 'automobile', 'truck', 'ship']",truck
195,5,"['cat', 'frog', 'ship', 'airplane']",ship
196,2,"['truck', 'cat', 'ship', 'automobile']",truck
197,3,"['frog', 'ship', 'deer', 'automobile']",ship
198,5,"['ship', 'cat', 'frog', 'airplane']",airplane
199,0,"['horse', 'frog', 'dog', 'deer']",horse
200,6,"['deer', 'automobile', 'horse', 'ship']",automobile
201,1,"['cat', 'frog', 'dog', 'bird']",bird
202,9,"['dog', 'frog', 'deer', 'cat']",deer
203,3,"['deer', 'ship', 'frog', 'automobile']",ship
204,6,"['ship', 'deer', 'automobile', 'horse']",automobile
205,9,"['frog', 'deer', 'cat', 'dog']",frog
206,1,"['frog', 'bird', 'cat', 'dog']",frog
207,3,"['frog', 'deer', 'automobile', 'ship']",automobile
208,9,"['cat', 'dog', 'frog', 'deer']",deer
209,6,"['ship', 'automobile', 'deer', 'horse']",deer
210,6,"['ship', 'horse', 'automobile', 'deer']",horse
211,7,"['ship', 'cat', 'automobile', 'airplane']",cat
212,1,"['bird', 'cat', 'dog', 'frog']",dog
213,0,"['dog', 'frog', 'deer', 'horse']",deer
214,9,"['cat', 'dog', 'deer', 'frog']",dog
215,5,"['cat', 'frog', 'airplane', 'ship']",airplane
216,8,"['cat', 'dog', 'horse', 'airplane']",horse
217,5,"['frog', 'cat', 'airplane', 'ship']",airplane
218,2,"['ship', 'truck', 'cat', 'automobile']",truck
219,9,"['deer', 'frog', 'dog', 'cat']",deer
220,0,"['dog', 'horse', 'deer', 'frog']",dog
221,8,"['dog', 'cat', 'horse', 'airplane']",horse
222,8,"['airplane', 'dog', 'horse', 'cat']",dog
223,0,"['frog', 'deer', 'dog', 'horse']",frog
224,6,"['automobile', 'horse', 'ship', 'deer']",ship
225,9,"['deer', 'frog', 'cat', 'dog']",frog
226,1,"['bird', 'frog', 'dog', 'cat']",dog
227,1,"['cat', 'frog', 'bird', 'dog']",bird
228,6,"['horse', 'ship', 'deer', 'automobile']",ship
229,3,"['automobile', 'deer', 'ship', 'frog']",ship
230,7,"['automobile', 'ship', 'cat', 'airplane']",cat
231,6,"['deer', 'automobile', 'horse', 'ship']",automobile
232,6,"['ship', 'horse', 'automobile', 'deer']",horse
233,0,"['dog', 'horse', 'deer', 'frog']",deer
234,6,"['ship', 'deer', 'horse', 'automobile']",horse
235,6,"['horse', 'deer', 'ship', 'automobile']",ship
236,1,"['cat', 'dog', 'frog', 'bird']",bird
237,7,"['ship', 'automobile', 'cat', 'airplane']",ship
238,1,"['dog', 'bird', 'cat', 'frog']",dog
239,5,"['ship', 'cat', 'airplane', 'frog']",airplane
240,8,"['airplane', 'dog', 'cat', 'horse']",dog
241,3,"['deer', 'automobile', 'frog', 'ship']",automobile
242,6,"['automobile', 'deer', 'ship', 'horse']",automobile
243,6,"['horse', 'automobile', 'deer', 'ship']",automobile
244,8,"['horse', 'dog', 'cat', 'airplane']",horse
245,6,"['automobile', 'horse', 'ship', 'deer']",horse
246,8,"['airplane', 'dog', 'cat', 'horse']",dog
247,4,"['cat', 'frog', 'automobile', 'ship']",automobile
248,6,"['ship', 'deer', 'automobile', 'horse']",automobile
249,6,"['horse', 'deer', 'automobile', 'ship']",horse
250,1,"['bird', 'cat', 'frog', 'dog']",bird
251,3,"['ship', 'frog', 'automobile', 'deer']",frog
252,8,"['airplane', 'dog', 'horse', 'cat']",dog
253,3,"['automobile', 'ship', 'frog', 'deer']",frog
254,4,"['frog', 'ship', 'cat', 'automobile']",ship
255,1,"['bird', 'frog', 'dog', 'cat']",dog
256,7,"['airplane', 'ship', 'cat', 'automobile']",cat
257,1,"['frog', 'dog', 'bird', 'cat']",dog
258,3,"['ship', 'deer', 'frog', 'automobile']",ship
259,8,"['airplane', 'horse', 'cat', 'dog']",horse
260,5,"['airplane', 'frog', 'cat', 'ship']",frog
261,1,"['dog', 'frog', 'bird', 'cat']",dog
262,1,"['frog', 'dog', 'bird', 'cat']",dog
263,4,"['automobile', 'cat', 'frog', 'ship']",ship
264,0,"['dog', 'deer', 'horse', 'frog']",deer
265,9,"['dog', 'cat', 'deer', 'frog']",deer
