index,true_label,predicted_label
0,19,cattle
1,29,dinosaur
2,0,apple
3,11,boy
4,1,aquarium_fish
5,86,telephone
6,90,train
7,28,cup
8,23,cloud
9,31,elephant
10,39,keyboard
11,96,maple_tree
12,82,sunflower
13,17,castle
14,71,Sun
15,39,keyboard
16,8,bicycle
17,97,bear
18,80,bear
19,71,sea
20,74,caterpillar
21,59,Tree
22,70,Flower
23,87,Dog
24,59,maple_tree
25,84,table
26,64,baby
27,52,maple_tree
28,42,tiger
29,64,aquarium_fish
30,8,bicycle
31,17,castle
32,47,maple_tree
33,65,apple
34,21,Dog
35,22,clock
36,81,bus
37,11,baby
38,24,cockroach
39,84,table
40,78,bed
41,45,lobster
42,49,mountain
43,97,elephant
44,56,Tree
45,76,skyscraper
46,11,boy
47,90,train
48,89,tractor
49,78,snake
50,73,aquarium_fish
51,14,butterfly
52,87,television
53,9,bottle
54,71,sea
55,6,bee
56,47,maple_tree
57,20,chair
58,98,man
59,47,maple_tree
60,36,hamster
61,55,Cat
62,72,bear
63,43,bear
0,51,mushroom
1,35,girl
2,83,sweet_pepper
3,33,forest
4,27,elephant
5,53,orange
6,92,tulip
7,50,mouse
8,15,camel
9,89,tractor
10,36,beaver
11,18,caterpillar
12,89,tractor
13,46,man
14,33,forest
15,42,bear
16,39,bed
17,64,Cat
18,75,bear
19,38,girl
20,23,Sky
21,42,Cat
22,66,apple
23,77,snail
24,49,mountain
25,18,caterpillar
26,46,man
27,15,Eye
28,35,girl
29,69,castle
30,95,sea
31,83,apple
32,75,chair
33,99,Cable
34,73,aquarium_fish
35,93,aquarium_fish
36,55,bear
37,39,keyboard
38,4,apple
39,97,Dog
40,61,plate
41,93,turtle
42,51,chair
43,69,sunflower
44,56,Tree
45,84,table
46,59,Tree
47,64,bear
48,94,wardrobe
49,4,Cat
50,11,boy
51,33,Tree
52,68,road
53,38,girl
54,20,chair
55,33,Tree
56,34,fox
57,32,aquarium_fish
58,46,man
59,53,orange
60,88,tiger
61,67,aquarium_fish
62,70,rose
63,64,bear
0,53,orange
1,64,bear
2,8,bicycle
3,96,maple_tree
4,87,television
5,30,aquarium_fish
6,20,chair
